,Method,Diff_Kd,Diff_Str,Diff_Td,Diff_Sub,Diff_Head,Diff_Body,Diff_Leg,Diff_Distance,Diff_Clinch,Diff_Ground,Diff_Ctrl,Fighter_1_W
757,U-DEC,0,-35,-3,0,32,-1,4,-6,-4,45,498,1
758,U-DEC,0,-5,-4,0,9,-2,-2,-3,0,8,791,1
759,U-DEC,0,-27,4,0,-27,-2,2,-17,-4,-6,344,0
760,U-DEC,-2,-21,3,-1,-2,17,6,21,0,0,-95,1
761,U-DEC,0,-5,-1,0,-6,1,0,-11,8,-2,-169,0
762,U-DEC,0,4,-5,-4,3,-2,3,3,1,0,-311,0
763,U-DEC,0,6,5,-3,1,-2,7,6,-1,1,244,0
764,U-DEC,-1,-31,0,0,9,17,5,20,0,11,-35,1
765,U-DEC,0,-10,-2,0,5,3,2,1,-2,11,471,1
766,U-DEC,0,1,-1,0,-18,7,12,-5,6,0,-86,0
767,U-DEC,0,-85,-5,0,43,44,-2,75,-3,13,313,1
768,U-DEC,0,-30,0,0,-15,-20,5,-17,-13,0,105,0
769,U-DEC,-1,-4,0,0,41,-11,-26,3,0,1,2,1
770,S-DEC,1,2,0,-3,-2,-12,12,-6,-2,6,23,1
771,U-DEC,0,-38,-1,-4,-25,-9,-4,-25,-5,-8,-147,0
772,U-DEC,0,-54,1,0,6,31,17,29,25,0,-71,1
773,U-DEC,0,-63,0,0,31,30,2,63,0,0,0,1
774,U-DEC,0,1,-2,0,31,-19,-13,1,0,-2,108,1
775,S-DEC,0,-34,1,0,0,10,24,35,0,-1,-123,1
776,U-DEC,0,-13,2,1,12,3,-2,12,1,0,-233,1
777,U-DEC,-1,-47,-1,0,-57,1,9,-19,-1,-27,-292,0
778,U-DEC,0,-21,-3,-1,21,-5,5,1,1,19,73,1
779,U-DEC,0,3,-4,1,9,-5,-1,-3,3,3,-346,0
780,S-DEC,0,-17,3,0,28,3,-14,29,5,-17,-34,1
781,U-DEC,0,-18,0,0,-14,6,-10,-14,-4,0,-4,0
782,S-DEC,0,-42,1,0,29,22,-9,45,3,-6,30,1
783,S-DEC,0,3,-1,0,-17,-5,19,5,-12,4,113,1
784,U-DEC,0,37,-1,0,6,-21,-22,-32,-5,0,192,1
785,U-DEC,0,-42,-3,0,33,11,-2,17,17,8,348,1
786,U-DEC,0,-19,-2,-3,-20,-3,4,7,1,-27,-498,0
787,U-DEC,0,-27,5,-2,23,0,4,21,7,-1,-233,1
788,U-DEC,0,3,1,0,0,0,-3,4,-7,0,-24,1
789,U-DEC,-1,-11,-3,3,-13,3,-1,-4,0,-7,-289,0
790,U-DEC,-1,-35,0,0,-11,-7,-17,-19,-1,-15,-698,0
791,U-DEC,0,-36,-4,0,-18,-17,-1,-24,-10,-2,-401,0
792,U-DEC,0,-20,-1,0,10,-15,-15,-16,0,-4,-81,0
793,U-DEC,0,-15,-4,0,7,-2,10,-9,-2,26,294,1
794,U-DEC,0,-14,0,0,-14,1,-1,-11,-3,0,1,0
795,U-DEC,-1,-1,0,0,-1,1,-1,-2,1,0,0,0
796,S-DEC,0,31,-2,0,-7,1,37,32,-1,0,-18,0
797,U-DEC,-1,-26,-2,0,21,9,-4,14,4,8,-271,1
798,U-DEC,-1,-41,-2,-1,-18,-8,-15,-31,-6,-4,-166,0
799,U-DEC,-1,-10,1,0,-3,20,-7,6,4,0,299,1
800,U-DEC,0,-23,-2,0,-5,5,-23,1,-24,0,-220,0
801,U-DEC,0,-27,-1,2,-21,-6,0,-8,-5,-14,-84,0
802,U-DEC,0,-6,-4,0,2,4,-12,-2,5,-9,-62,0
803,U-DEC,0,-14,-1,0,8,-2,-20,-4,-5,-5,67,0
804,U-DEC,0,0,-5,0,-14,29,-15,14,-16,2,309,1
805,U-DEC,0,4,-1,0,0,3,1,4,7,-7,-403,0
806,U-DEC,0,-37,-1,0,15,19,3,3,28,6,775,1
807,U-DEC,-1,-14,-2,0,8,4,2,-9,21,2,363,1
808,U-DEC,0,-67,1,0,61,8,-2,70,-3,0,-52,1
809,U-DEC,-1,-31,-3,-3,27,-3,7,26,-7,12,320,1
810,S-DEC,0,8,0,1,2,-2,-8,-8,-3,3,-53,1
811,U-DEC,-1,-61,-2,0,-36,-4,-21,-44,-2,-15,-158,0
812,U-DEC,0,28,1,1,9,13,6,9,6,13,493,0
813,U-DEC,0,-27,-5,0,0,27,0,16,12,-1,319,1
814,U-DEC,0,-30,1,0,8,3,19,25,3,2,-305,1
815,U-DEC,-1,-28,-2,0,3,0,25,26,0,2,114,1
816,S-DEC,0,-8,-2,0,-12,4,16,4,5,-1,96,1
817,S-DEC,0,7,-5,-1,-5,3,-5,-11,1,3,470,1
818,U-DEC,-1,-16,0,0,6,9,1,8,7,1,-21,1
819,U-DEC,0,-59,6,1,42,4,13,54,6,-1,-107,1
820,U-DEC,0,-47,1,0,-36,4,-15,-51,3,1,116,0
821,U-DEC,0,1,-3,-2,9,2,-12,-8,6,1,389,1
822,U-DEC,0,-76,-1,0,24,8,44,70,6,0,38,1
823,U-DEC,0,-10,-1,0,3,-14,1,-1,-7,-2,-147,0
824,U-DEC,0,-9,-1,0,-14,11,-6,-4,-4,-1,-174,0
825,U-DEC,0,-22,-2,-1,8,-7,21,20,-2,4,482,1
826,U-DEC,1,15,-6,-1,-11,-4,0,-10,1,-6,361,1
827,U-DEC,0,-58,-1,0,-40,-3,-15,-51,-2,-5,-170,0
828,M-DEC,0,-29,-3,0,-42,13,0,-3,-3,-23,-292,0
829,U-DEC,0,-21,-1,0,33,-11,-1,13,-1,9,63,1
830,U-DEC,0,-12,0,0,-8,3,17,-3,6,9,140,1
831,U-DEC,0,-22,-1,-1,3,5,14,14,4,4,-146,1
832,U-DEC,0,-9,-5,-1,1,-8,-2,9,-7,-11,-417,0
833,U-DEC,0,-31,-3,0,-2,-19,-10,-17,-8,-6,-201,0
834,U-DEC,0,-24,-3,1,22,1,1,3,-2,23,579,1
835,S-DEC,0,-11,1,0,-32,13,8,-13,2,0,29,0
836,S-DEC,0,6,0,0,0,3,3,-3,1,8,51,0
837,U-DEC,0,-16,0,0,32,-14,-2,5,4,7,-273,1
838,U-DEC,0,-6,-3,0,6,1,-1,0,2,4,549,1
839,U-DEC,0,14,2,0,-5,5,-14,-13,0,-1,14,1
840,U-DEC,0,-75,-2,0,60,6,9,44,-1,32,344,1
841,U-DEC,0,2,3,-4,33,-16,-19,-20,8,10,-193,1
842,U-DEC,-1,-21,-1,0,10,6,5,0,3,18,293,1
843,U-DEC,-1,-7,3,0,2,6,-1,-6,1,12,-127,1
844,U-DEC,0,-31,2,0,-16,-9,-6,-19,-12,0,71,0
845,U-DEC,0,-38,-13,0,12,1,25,-1,6,33,1146,1
846,U-DEC,-2,1,-1,0,30,-4,-27,-10,-7,16,84,1
847,U-DEC,0,-61,1,0,34,26,1,29,28,4,101,1
848,U-DEC,0,-1,-2,0,4,-8,5,9,-8,0,97,1
849,U-DEC,0,-62,1,-2,-28,-35,1,-32,-16,-14,201,0
850,U-DEC,0,-40,2,0,33,0,7,37,1,2,-145,1
851,U-DEC,0,-28,-2,0,-12,-3,-13,-26,2,-4,195,0
852,U-DEC,0,-43,-4,0,-18,-22,-3,-36,0,-7,-466,0
853,S-DEC,0,-16,0,0,-1,-2,19,19,-3,0,-4,1
854,S-DEC,1,18,-5,0,10,-10,-18,-19,0,1,92,1
855,U-DEC,0,-89,-2,0,79,4,6,37,34,18,-87,1
856,U-DEC,0,-59,-13,-2,42,8,9,13,-1,47,553,1
857,U-DEC,0,-82,-6,-1,66,6,10,55,-3,30,472,1
858,U-DEC,0,-27,1,0,4,13,10,14,13,0,-158,1
859,U-DEC,-1,-50,-1,0,41,2,7,38,1,11,-25,1
860,U-DEC,0,-32,-1,0,42,4,-14,24,4,4,64,1
861,U-DEC,0,-40,-1,0,8,-50,2,-8,-31,-1,364,0
862,U-DEC,0,-55,-2,-1,-27,-15,-13,-32,-4,-19,-311,0
863,S-DEC,0,-12,1,0,12,-10,-14,-10,-2,0,-38,0
864,U-DEC,0,-12,1,-2,8,4,0,0,1,11,-257,1
865,U-DEC,0,-48,-3,-4,41,6,1,1,0,47,636,1
866,U-DEC,0,-48,-1,0,78,-24,-6,44,2,2,16,1
867,S-DEC,1,6,-1,0,1,-15,8,-8,-2,4,130,1
868,S-DEC,1,1,-1,0,14,-8,-7,13,-3,-11,11,1
869,U-DEC,0,-25,0,0,-28,9,-6,-30,5,0,305,0
870,U-DEC,0,-9,2,0,38,-17,-12,11,1,-3,-135,1
871,U-DEC,-1,-27,-1,0,13,3,11,21,2,4,3,1
872,U-DEC,0,3,1,0,5,6,-8,7,-5,1,55,0
873,S-DEC,1,-14,-1,0,10,2,2,7,5,2,327,1
874,S-DEC,0,-20,-7,0,11,-1,10,7,5,8,293,1
875,U-DEC,0,-9,0,0,-4,0,13,8,1,0,-7,1
876,U-DEC,0,-41,-2,0,47,0,-6,21,2,18,254,1
877,U-DEC,0,-13,0,0,-19,1,5,-11,-2,0,0,0
878,U-DEC,0,-31,0,0,15,5,11,31,0,0,53,1
879,U-DEC,0,-1,2,0,13,-8,-4,1,-2,2,-106,1
880,S-DEC,0,-41,3,1,52,-6,-5,38,6,-3,-2,1
881,S-DEC,0,-1,-1,0,19,-7,-11,0,0,1,46,1
882,U-DEC,0,-35,-3,-5,25,12,-2,-4,0,39,771,1
883,S-DEC,0,6,-2,-1,1,7,-14,2,-8,0,152,1
884,U-DEC,0,-8,-3,0,-5,-4,1,0,6,-14,-535,0
885,U-DEC,0,12,0,0,19,1,-32,-12,0,0,0,1
886,U-DEC,0,-18,1,1,-20,0,2,-8,-4,-6,28,0
887,U-DEC,0,-49,0,-2,35,15,-1,12,5,32,385,1
888,U-DEC,0,-5,-2,0,-4,5,4,8,-4,1,126,1
889,M-DEC,0,33,-1,1,-27,-13,7,9,0,-42,-121,1
890,U-DEC,0,-51,-2,0,-30,-29,8,-38,5,-18,-224,0
891,U-DEC,0,-22,3,0,-10,-12,0,-16,-6,0,18,0
892,U-DEC,0,-37,0,0,-25,-20,8,-17,-8,-12,-192,0
893,U-DEC,0,-8,0,0,-6,2,12,13,-5,0,0,1
894,U-DEC,0,-58,-2,0,45,11,2,21,15,22,87,1
895,S-DEC,0,-17,1,0,4,7,6,15,0,2,-123,1
896,U-DEC,0,26,-8,0,-11,-8,-7,-32,-1,7,481,1
897,S-DEC,0,16,2,0,-13,-5,2,-11,-3,-2,-103,1
898,U-DEC,0,-58,0,0,-44,-7,-7,-31,-10,-17,-203,0
899,U-DEC,0,-17,-2,0,13,4,0,-5,-1,23,502,1
900,U-DEC,0,-6,1,0,9,-1,-2,-8,1,13,828,1
901,U-DEC,0,-10,-4,-1,14,-7,3,-1,-3,14,460,1
902,S-DEC,0,-12,-1,0,-8,9,-13,-15,3,0,-302,0
903,U-DEC,0,-55,-5,1,-40,-13,-2,-38,-4,-13,-203,0
904,S-DEC,-1,-10,7,0,11,5,-6,8,-5,7,-301,1
905,U-DEC,-1,17,-4,0,-3,-9,-5,7,-17,-7,503,1
906,U-DEC,0,-28,0,0,17,-2,13,24,3,1,-36,1
907,U-DEC,0,5,0,-1,-14,7,12,12,-4,-3,-97,0
908,U-DEC,-1,-4,0,-1,0,5,-1,-1,-1,6,402,1
909,U-DEC,0,-26,-10,0,-32,5,1,1,-7,-20,-580,0
910,U-DEC,0,-31,0,0,-6,15,22,32,-1,0,4,1
911,U-DEC,0,-30,-1,0,-44,8,6,-26,1,-5,-270,0
912,U-DEC,0,-33,-3,0,15,11,7,7,-1,27,606,1
913,U-DEC,0,-18,-12,0,-8,-4,-6,-1,-4,-13,-335,0
914,U-DEC,0,-46,-3,0,16,31,-1,-8,29,25,491,1
915,U-DEC,0,12,-2,0,-10,-18,16,-8,-4,0,101,1
916,S-DEC,0,-26,2,1,-13,-12,-1,-14,-9,-3,339,0
917,U-DEC,0,-15,3,0,10,7,-2,9,6,0,-487,1
918,S-DEC,0,-27,1,3,45,-2,-16,-3,2,28,-13,1
919,S-DEC,0,24,-2,1,19,-25,-18,-24,1,-1,114,1
920,S-DEC,0,-14,0,0,2,28,-16,13,1,0,-88,1
921,U-DEC,0,-19,-5,-2,-11,-1,-7,-17,-1,-1,-313,0
922,U-DEC,0,5,-6,0,-4,2,7,5,0,0,-572,0
923,U-DEC,0,-70,6,0,29,37,4,76,0,-6,-137,1
924,U-DEC,0,-8,0,0,9,-4,3,6,2,0,498,1
925,U-DEC,0,-14,0,0,33,-11,-8,19,-5,0,4,1
926,U-DEC,0,-33,-1,0,-5,10,28,25,6,2,26,1
927,U-DEC,-1,-68,-10,3,62,5,1,26,42,0,555,1
928,U-DEC,0,-37,-3,-1,22,14,1,0,1,36,804,1
929,U-DEC,0,8,1,0,3,-18,7,10,-18,0,374,1
930,U-DEC,-1,-3,-1,1,2,1,0,2,1,0,494,1
931,U-DEC,0,-24,3,-1,-18,0,-6,-4,0,-20,-132,0
932,U-DEC,0,-26,3,0,-42,14,2,-22,4,-8,-123,0
933,U-DEC,0,-36,-1,0,6,14,16,24,11,1,-74,1
934,S-DEC,0,-60,0,0,21,19,20,43,17,0,118,1
935,S-DEC,0,12,1,1,-21,-2,11,-10,-2,0,-126,1
936,U-DEC,0,-26,-5,0,37,4,-15,20,6,0,201,1
937,S-DEC,0,5,-3,0,1,0,-6,0,0,-5,726,1
938,U-DEC,0,-33,0,0,23,17,-7,25,8,0,0,1
939,U-DEC,-1,-62,0,0,52,18,-8,19,23,20,380,1
940,U-DEC,-1,-17,-1,0,-16,-7,6,-5,0,-12,-365,0
941,U-DEC,0,13,-2,0,-8,-2,-3,-17,3,1,145,1
942,S-DEC,0,21,-4,0,-18,-6,3,-6,-15,0,200,1
943,U-DEC,0,-23,0,0,18,17,-58,-24,1,0,-43,0
944,U-DEC,0,-39,-8,-1,44,-7,2,-4,-10,53,1011,1
945,S-DEC,0,-1,-1,0,9,-9,1,1,0,0,21,1
946,U-DEC,0,-2,1,0,-15,3,10,-2,-3,3,57,0
947,U-DEC,0,-42,2,0,1,22,19,40,5,-3,-90,1
948,M-DEC,0,22,3,0,-21,1,-2,9,15,-46,-302,1
949,M-DEC,0,-11,-5,0,13,3,-5,-4,-1,16,339,1
950,U-DEC,0,-31,5,0,33,0,-2,38,-5,-2,-187,1
951,U-DEC,0,-46,-4,0,43,3,0,4,0,42,743,1
952,S-DEC,0,-51,0,0,30,10,11,41,10,0,-501,1
953,U-DEC,0,7,-2,-2,8,-3,2,1,-1,7,-18,0
954,U-DEC,0,1,-2,0,-2,5,-2,3,2,-4,-320,0
955,U-DEC,0,19,1,-1,-7,-8,-4,-17,4,-6,-159,1
956,U-DEC,0,-16,2,0,20,1,-5,19,-3,0,-172,1
957,U-DEC,-1,-16,2,0,12,4,0,12,0,4,249,1
958,U-DEC,0,-39,-2,0,-21,-9,-9,-14,-6,-19,-525,0
959,U-DEC,0,-16,-1,0,-15,3,28,24,0,-8,52,1
960,U-DEC,0,-40,0,0,21,13,6,40,0,0,0,1
961,U-DEC,0,-28,2,0,-1,-13,-14,7,-33,-2,234,0
962,U-DEC,0,-11,0,-2,4,2,-17,-17,6,0,153,0
963,S-DEC,0,-32,1,0,-1,16,17,33,-1,0,-95,1
964,U-DEC,0,13,-4,0,-6,3,-10,-15,-2,4,628,1
965,U-DEC,0,-8,3,0,-14,4,2,-15,0,7,264,0
966,U-DEC,0,-33,0,0,-34,-8,9,-28,-5,0,-31,0
967,S-DEC,0,5,-6,0,8,2,-5,-2,4,3,-304,0
968,S-DEC,0,4,0,0,-11,9,6,-8,12,0,125,0
969,U-DEC,-1,-61,0,0,85,12,-36,50,2,9,10,1
970,S-DEC,0,-11,2,1,9,1,1,-3,14,0,-73,1
971,S-DEC,0,-23,1,0,6,-14,-15,-12,-7,-4,-163,0
972,M-DEC,0,-7,-1,0,-13,15,-9,20,1,-28,-174,0
973,U-DEC,0,-21,-3,0,15,2,4,9,9,3,30,1
974,S-DEC,0,-34,2,0,28,-1,7,18,21,-5,-152,1
975,U-DEC,0,-11,-1,0,-3,3,-11,-16,4,1,-33,0
976,U-DEC,0,7,-3,0,-15,18,4,-2,2,7,-94,0
977,S-DEC,0,-34,0,0,-11,33,12,4,32,-2,-99,1
978,U-DEC,-1,-5,0,0,12,-3,-4,4,4,-3,-70,1
979,U-DEC,0,-46,3,0,30,4,12,35,0,11,-144,1
980,S-DEC,0,-28,5,0,-29,-2,3,-20,-7,-1,452,0
981,U-DEC,0,-15,-4,-1,28,-6,-7,-3,-10,28,133,1
982,U-DEC,0,-69,1,0,-76,7,0,-72,3,0,268,0
983,U-DEC,-1,-12,-2,0,-14,4,-2,-15,3,0,42,0
984,U-DEC,0,-61,0,0,-13,-19,-29,-61,0,0,0,0
985,U-DEC,0,-122,-2,0,23,42,57,88,34,0,34,1
986,U-DEC,0,-49,0,0,11,36,2,36,13,0,32,1
987,U-DEC,0,-54,-2,0,-24,-18,-12,-53,0,-1,-104,0
988,S-DEC,0,3,-3,2,-16,3,10,9,-6,-6,108,1
989,S-DEC,0,8,0,0,-25,1,16,-10,1,1,9,1
990,U-DEC,-1,-6,4,0,-23,22,-5,1,-7,0,129,0
991,U-DEC,0,-46,0,0,51,4,-9,36,10,0,20,1
992,U-DEC,0,-20,0,0,25,0,-5,18,2,0,91,1
993,U-DEC,-1,-61,0,0,-47,0,-14,-39,0,-22,-125,0
994,S-DEC,0,-8,-2,0,2,-1,-9,-6,0,-2,-160,0
995,U-DEC,0,-44,0,0,11,14,19,42,2,0,46,1
996,U-DEC,0,12,-3,1,-5,-7,0,-19,4,3,411,1
997,U-DEC,0,-55,2,1,45,10,0,28,3,24,-24,1
998,U-DEC,0,-10,-1,-1,1,-4,-7,-1,-8,-1,173,0
999,U-DEC,0,-13,2,0,5,5,3,-4,10,7,92,1
1000,U-DEC,0,-18,0,0,-1,-19,2,-19,1,0,5,0
1001,U-DEC,0,-57,-3,0,-20,-13,-24,-51,0,-6,-344,0
1002,S-DEC,0,-25,2,0,-24,-3,2,-17,3,-11,111,0
1003,U-DEC,0,5,-2,0,-14,19,0,2,14,-11,-118,0
1004,U-DEC,0,-15,-4,0,12,2,1,7,1,7,302,1
1005,M-DEC,0,1,-4,1,-14,7,6,-6,3,2,413,1
1006,S-DEC,-1,-4,3,0,4,2,-2,9,-2,-3,145,1
1007,U-DEC,0,-57,0,0,31,12,14,56,1,0,-13,1
1008,U-DEC,-1,-28,-2,0,14,2,12,10,0,18,253,1
1009,U-DEC,0,-56,0,0,48,-2,10,52,3,1,-44,1
1010,U-DEC,0,18,1,0,16,0,2,1,3,14,61,0
1011,U-DEC,0,-20,-4,-2,21,-1,0,-1,0,21,752,1
1012,S-DEC,0,4,1,-1,19,-13,-10,-15,7,4,-17,1
1013,U-DEC,0,-32,2,-1,-38,10,-4,0,-5,-27,-160,0
1014,S-DEC,-1,-12,3,0,15,-2,-1,4,-1,9,-617,1
1015,S-DEC,0,-20,0,0,-25,5,0,-11,-5,-4,339,0
1016,U-DEC,0,-20,3,0,-7,-9,-4,-16,-2,-2,353,0
1017,U-DEC,0,16,0,-1,-16,0,0,-12,0,-4,338,1
1018,U-DEC,0,-7,-3,0,3,-5,-5,1,2,-10,-294,0
1019,S-DEC,0,4,1,0,-14,10,8,4,-1,1,-14,0
1020,U-DEC,-1,-36,0,0,27,6,3,24,1,11,254,1
1021,U-DEC,0,-58,0,0,-37,-20,-1,-56,-2,0,-18,0
1022,S-DEC,0,-40,1,0,27,-10,23,37,5,-2,-126,1
1023,S-DEC,-1,6,-6,2,8,-11,-3,-13,5,2,-554,1
1024,U-DEC,0,-9,-2,0,8,3,-2,4,0,5,219,1
1025,U-DEC,0,-11,-3,0,5,5,1,0,1,10,431,1
1026,U-DEC,-1,-31,0,0,7,5,19,27,0,4,-52,1
1027,U-DEC,0,-25,3,1,21,0,4,24,3,-2,-302,1
1028,S-DEC,0,30,0,0,-21,34,17,21,9,0,-7,0
1029,U-DEC,0,-70,-1,0,59,6,5,44,1,25,131,1
1030,U-DEC,-1,-35,0,0,12,14,9,26,-2,11,52,1
1031,U-DEC,0,49,-3,0,-39,-5,-5,-35,-5,-9,165,1
1032,S-DEC,-1,-6,0,0,-14,-2,22,1,0,5,42,1
1033,U-DEC,-1,-45,-1,1,-40,-6,1,-5,-23,-17,-249,0
1034,U-DEC,0,7,1,0,29,-35,13,8,2,-3,7,0
1035,U-DEC,0,-23,-2,0,14,10,-1,20,-1,4,132,1
1036,U-DEC,0,-17,4,0,-8,4,-13,-25,9,-1,-95,0
1037,U-DEC,0,-12,0,1,-1,0,-11,30,-22,-20,-24,0
1038,U-DEC,0,-6,1,-1,8,-2,-12,-4,-4,2,53,0
1039,U-DEC,0,-27,2,-1,10,-2,19,25,2,0,-184,1
1040,S-DEC,-1,27,-2,0,14,-16,-25,-20,-4,-3,357,1
1041,U-DEC,0,-75,-4,0,30,39,6,30,23,22,644,1
1042,U-DEC,0,-24,-1,0,15,0,9,21,0,3,470,1
1043,S-DEC,0,3,0,-1,-13,-5,15,8,-11,0,-200,1
1044,U-DEC,0,-33,3,0,23,2,8,25,2,6,-84,1
1045,S-DEC,0,7,-3,0,-5,3,-5,-6,-1,0,15,1
1046,U-DEC,0,5,-3,0,2,1,-8,-2,-10,7,390,1
1047,U-DEC,0,-43,-1,-1,-14,-19,-10,-15,-27,-1,-56,0
1048,S-DEC,0,-8,1,0,8,4,-20,-2,0,-6,-48,0
1049,U-DEC,0,3,-3,0,2,1,0,6,-1,-2,-703,0
1050,U-DEC,0,-101,-10,0,67,10,24,88,13,0,523,1
1051,U-DEC,0,10,4,0,-17,-3,30,1,10,-1,129,0
1052,U-DEC,0,-2,-1,0,18,-17,1,-8,9,1,197,1
1053,U-DEC,0,-6,0,0,11,-12,7,4,2,0,-85,1
1054,U-DEC,0,-33,1,0,52,-1,-18,27,6,0,-106,1
1055,U-DEC,0,-84,0,0,38,34,12,50,31,3,-102,1
1056,U-DEC,0,-24,-2,0,-14,-3,-7,-3,-4,-17,-412,0
1057,S-DEC,0,-1,0,0,-2,-6,7,-1,0,0,-153,0
1058,U-DEC,0,1,-2,0,-19,8,12,-11,4,8,166,0
1059,U-DEC,-1,-6,0,0,-12,-3,9,2,2,-10,-38,0
1060,U-DEC,0,-14,-4,0,17,4,-7,-3,1,16,405,1
1061,U-DEC,0,-11,-3,0,-31,3,17,4,-12,-3,-294,0
1062,U-DEC,0,0,0,0,-4,2,2,1,-1,0,20,1
1063,U-DEC,0,-82,0,0,48,25,9,82,0,0,-83,1
1064,U-DEC,0,-27,2,0,22,14,-9,26,3,-2,-158,1
1065,S-DEC,0,5,-1,0,-3,-1,-1,-5,-4,4,326,1
1066,U-DEC,0,-8,-1,0,-5,1,-4,-14,3,3,101,0
1067,U-DEC,0,-54,0,0,-47,-8,1,-37,-16,-1,13,0
1068,U-DEC,0,-7,-5,-1,5,2,0,-2,2,7,246,1
1069,U-DEC,0,-34,2,0,18,13,3,26,8,0,-43,1
1070,S-DEC,0,-12,0,1,-10,-2,0,-4,-1,-7,-28,0
1071,S-DEC,0,-25,4,2,15,6,4,7,3,15,-66,1
1072,U-DEC,0,-39,-2,0,52,0,-13,17,14,8,145,1
1073,U-DEC,0,-7,1,0,19,2,-14,-5,2,10,-95,1
1074,U-DEC,-2,-7,0,-1,-7,-2,2,-18,1,10,103,0
1075,U-DEC,0,-49,-1,0,-40,-5,-4,-36,-10,-3,-238,0
1076,U-DEC,1,10,0,0,-40,0,30,-2,-2,-6,-29,1
1077,S-DEC,0,-16,0,0,2,9,5,13,3,0,0,1
1078,U-DEC,0,-40,-4,0,-45,-1,6,-3,-3,-34,-565,0
1079,U-DEC,0,-79,-1,0,-43,-24,-12,-80,1,0,-54,0
1080,U-DEC,0,-15,0,0,17,-2,0,20,-5,0,7,1
1081,U-DEC,0,17,0,0,12,6,-1,10,6,1,-653,0
1082,U-DEC,-1,-16,1,0,4,8,4,3,10,3,182,1
1083,M-DEC,0,19,-3,0,-10,-7,-2,-14,-1,-4,292,1
1084,U-DEC,0,-29,-1,-1,-7,-10,-12,0,-9,-20,-206,0
1085,U-DEC,0,-2,-3,1,14,-1,-11,0,0,2,156,1
1086,U-DEC,0,-14,0,1,32,-14,-4,-4,-4,22,454,1
1087,U-DEC,0,-38,2,0,41,2,-5,43,-3,-2,-230,1
1088,U-DEC,0,-59,4,1,29,21,9,32,14,13,-88,1
1089,U-DEC,0,-7,2,0,-16,12,11,8,0,-1,98,1
1090,U-DEC,-1,-38,0,0,31,2,5,23,1,14,108,1
1091,U-DEC,0,-52,-1,1,44,6,2,6,-8,54,754,1
1092,U-DEC,0,-40,-2,0,-33,11,-18,-31,-2,-7,-42,0
1093,U-DEC,0,-61,0,0,35,22,4,63,-2,0,75,1
1094,U-DEC,-2,17,-1,0,2,2,13,18,-1,0,0,0
1095,U-DEC,-1,-9,-2,0,-26,-1,18,-12,9,-6,1,0
1096,U-DEC,0,-27,-4,0,-2,7,22,3,3,21,497,1
1097,U-DEC,0,-69,0,0,79,7,-17,70,-1,0,-5,1
1098,U-DEC,0,-58,0,-1,-37,-6,-15,-44,-14,0,27,0
1099,U-DEC,0,-23,0,1,20,-10,13,27,-5,1,56,1
1100,U-DEC,0,1,0,0,2,7,-8,-3,4,0,121,0
1101,U-DEC,0,30,3,0,26,1,-57,-26,-4,0,-129,1
1102,U-DEC,0,-23,-5,0,-8,-9,-6,-24,-1,2,-199,0
1103,U-DEC,0,-19,0,1,9,-2,12,12,0,7,227,1
1104,U-DEC,-1,-21,1,0,0,-5,-16,-24,3,0,139,0
1105,U-DEC,0,-44,0,0,-43,-1,0,3,-6,-41,-132,0
1106,U-DEC,0,-14,-1,0,-3,-2,-9,-16,0,2,138,0
1107,U-DEC,0,-24,3,0,-16,-1,-7,-2,-3,-19,102,0
1108,U-DEC,0,-19,-3,0,25,-1,-5,1,3,15,196,1
1109,U-DEC,0,8,-1,-3,-3,-9,4,-23,2,13,268,1
1110,U-DEC,0,-23,-4,0,45,1,-23,7,6,10,121,1
1111,U-DEC,0,-66,0,0,-9,-10,-47,-41,-25,0,-258,0
1112,U-DEC,0,4,0,0,-10,-10,24,1,3,0,-5,0
1113,U-DEC,0,-27,-2,-1,43,-19,3,4,-6,29,278,1
1114,U-DEC,0,-16,-1,0,4,-5,-15,-10,-6,0,-242,0
1115,U-DEC,-1,-42,0,-3,36,10,-4,27,8,7,160,1
1116,U-DEC,-2,-48,0,0,-38,6,-16,-39,-3,-6,-22,0
1117,U-DEC,0,9,-4,0,18,-16,-11,-8,-6,5,187,1
1118,S-DEC,0,-5,0,0,-16,-4,15,-15,5,5,97,0
1119,U-DEC,0,-23,-5,0,-22,-2,1,-7,8,-24,-477,0
1120,U-DEC,0,-3,-2,0,11,-9,-5,-19,17,-1,-373,0
1121,U-DEC,0,-31,1,0,-17,-11,-3,-31,0,0,38,0
1122,U-DEC,0,-38,0,0,5,5,28,38,-1,1,3,1
1123,U-DEC,0,40,-2,0,-24,-13,-3,-32,-11,3,234,1
1124,U-DEC,1,-23,-2,0,-2,-7,-14,-18,-6,1,-356,0
1125,U-DEC,0,-58,-3,-1,-31,-8,-19,-46,-9,-3,-383,0
1126,U-DEC,0,-17,0,0,-18,1,0,10,-12,-15,-52,0
1127,S-DEC,0,-14,-1,1,-15,23,-22,-14,0,0,-22,0
1128,U-DEC,0,-23,-1,0,25,2,-4,7,-1,17,450,1
1129,S-DEC,0,33,0,0,5,21,7,35,-2,0,-95,0
1130,U-DEC,0,-8,-1,0,5,2,1,-1,5,4,99,1
1131,U-DEC,0,-60,0,0,43,15,2,53,6,1,-18,1
1132,S-DEC,1,0,0,0,-19,-1,20,-2,1,1,19,0
1133,U-DEC,0,-1,-3,0,2,-1,0,-2,1,2,259,1
