,Diff_Kd,Diff_Str,Diff_Td,Diff_Sub,Diff_Head,Diff_Body,Diff_Leg,Diff_Distance,Diff_Clinch,Diff_Ground,Diff_Ctrl,Fighter_1_W
3068,0,-14,1,0,20,-14,8,13,1,0,-2,1
3069,0,-14,-1,4,1,10,3,0,5,9,113,1
3070,0,-7,-9,0,-12,5,14,-10,11,6,482,1
3071,0,-11,5,2,-4,-1,16,15,6,-10,-145,1
3072,-1,-15,2,1,19,-2,-2,2,0,13,59,1
3073,0,36,-2,1,0,-26,-10,-16,-15,-5,-4,1
3074,-2,-43,0,-1,37,5,1,10,9,24,174,1
3075,0,-5,2,1,-5,6,4,0,0,5,141,1
3076,-3,-94,-7,-1,81,1,12,51,-1,44,561,1
3077,-1,-36,-5,-1,12,22,2,4,0,32,578,1
3078,0,-18,-5,0,19,4,-5,6,5,7,69,1
3079,0,-15,-3,-6,20,-2,-3,-2,3,14,484,1
3080,0,-8,-2,0,14,5,-11,-6,11,3,149,1
3081,-3,-42,-1,-2,26,16,0,15,6,21,472,1
3082,0,-8,-1,0,9,10,-11,-7,12,3,-32,1
3083,0,-51,-10,1,38,9,4,-4,1,54,728,1
3084,1,-27,0,-3,-7,2,32,26,-5,6,97,1
3085,0,2,2,2,-2,-8,8,7,3,-12,-191,1
3086,0,-22,-2,5,22,0,0,-9,2,29,585,1
3087,0,-72,-3,1,34,18,20,51,1,20,350,1
3088,0,-32,3,-1,32,5,-5,13,22,-3,-457,1
3089,0,-33,1,3,17,9,7,14,6,13,368,1
3090,0,-26,-5,-2,4,7,15,-8,18,16,400,1
3091,0,-1,1,1,-6,10,-3,-7,-5,13,386,1
3092,-1,22,5,-2,-11,-7,-4,-3,-7,-12,-311,1
3093,-1,-10,6,1,-3,6,7,-3,8,5,-348,1
3094,-1,-25,-1,2,16,-5,14,29,-10,6,156,1
3095,1,3,-4,1,1,-1,-3,-8,-1,6,545,1
3096,0,-72,1,0,24,12,36,61,11,0,-41,1
3097,0,8,-3,-3,5,-7,-6,-12,1,3,312,1
