,W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,Event
1096,win,Robbie Lawler  Nick Diaz,0  0,131  150,0  0,0  0,Middleweight,KO/TKO  Punch,3,0:44,UFC 266: Volkanovski vs. Ortega
1097,win,Curtis Blaydes  Jairzinho Rozenstruik,0  0,32  18,3  0,0  0,Heavyweight,U-DEC,3,5:00,UFC 266: Volkanovski vs. Ortega
1098,win,Jessica Andrade  Cynthia Calvillo,0  0,48  27,0  0,0  0,Women's Flyweight,KO/TKO  Punches,1,4:54,UFC 266: Volkanovski vs. Ortega
1099,win,Merab Dvalishvili  Marlon Moraes,0  1,69  29,4  0,0  0,Bantamweight,KO/TKO  Punches,2,4:25,UFC 266: Volkanovski vs. Ortega
1100,win,Dan Hooker  Nasrat Haqparast,0  0,73  27,3  0,0  0,Lightweight,U-DEC,3,5:00,UFC 266: Volkanovski vs. Ortega
1101,win,Chris Daukaus  Shamil Abdurakhimov,2  0,38  23,0  0,0  0,Heavyweight,KO/TKO  Punch,2,1:23,UFC 266: Volkanovski vs. Ortega
1102,win,Taila Santos  Roxanne Modafferi,1  0,55  18,5  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC 266: Volkanovski vs. Ortega
1103,win,Jalin Turner  Uros Medic,0  0,25  6,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1,4:01,UFC 266: Volkanovski vs. Ortega
1104,win,Nick Maximov  Cody Brundage,0  0,14  28,4  0,0  1,Middleweight,U-DEC,3,5:00,UFC 266: Volkanovski vs. Ortega
1105,win,Matthew Semelsberger  Martin Sano,1  0,3  1,0  0,0  0,Welterweight,KO/TKO  Punch,1,0:15,UFC 266: Volkanovski vs. Ortega
1106,win,Jonathan Pearce  Omar Morales,0  0,12  12,6  0,1  0,Featherweight,SUB  Rear Naked Choke,2,3:31,UFC 266: Volkanovski vs. Ortega
1107,win,Anthony Smith  Ryan Spann,2  0,17  8,0  0,1  0,Light Heavyweight,SUB  Rear Naked Choke,1,3:47,UFC Fight Night: Smith vs. Spann
1108,win,Ion Cutelaba  Devin Clark,1  0,64  23,8  1,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Smith vs. Spann
1109,win,Ariane Lipski  Mandy Bohm,2  0,87  36,0  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Smith vs. Spann
1110,win,Arman Tsarukyan  Christos Giagos,1  0,22  1,0  0,0  0,Lightweight,KO/TKO  Punches,1,2:09,UFC Fight Night: Smith vs. Spann
1111,win,Nate Maness  Tony Gravely,1  1,31  36,1  1,0  0,Bantamweight,KO/TKO  Punches,2,2:10,UFC Fight Night: Smith vs. Spann
1112,win,Joaquin Buckley  Antonio Arroyo,1  0,41  21,1  0,0  0,Middleweight,KO/TKO  Punches,3,2:26,UFC Fight Night: Smith vs. Spann
1113,win,Tafon Nchukwi  Mike Rodriguez,0  0,116  49,3  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Smith vs. Spann
1114,win,Raquel Pennington  Pannie Kianzad,0  0,48  50,1  1,0  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Smith vs. Spann
1115,win,Rongzhu  Brandon Jenkins,1  0,86  41,6  0,0  0,Lightweight,KO/TKO  Punches,3,4:35,UFC Fight Night: Smith vs. Spann
1116,win,Montel Jackson  JP Buys,4  0,25  8,4  1,1  3,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Smith vs. Spann
1117,win,Erin Blanchfield  Sarah Alpar,0  0,120  41,3  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Smith vs. Spann
1118,win,Carlston Harris  Impa Kasanganay,1  0,24  6,0  0,0  0,Welterweight,KO/TKO  Punches,1,2:38,UFC Fight Night: Smith vs. Spann
1119,draw draw,Gustavo Lopez  Alatengheili,0  0,44  36,3  0,1  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Smith vs. Spann
1120,win,Hannah Goldy  Emily Whitmire,0  0,10  5,0  2,1  0,Women's Flyweight,SUB  Armbar,1,4:17,UFC Fight Night: Smith vs. Spann
1121,win,Derek Brunson  Darren Till,0  0,41  26,3  0,1  0,Middleweight,SUB  Rear Naked Choke,3,2:13,UFC Fight Night: Brunson vs. Till
1122,win,Tom Aspinall  Serghei Spivac,1  0,16  0,0  0,0  0,Heavyweight,KO/TKO  Elbow,1,2:30,UFC Fight Night: Brunson vs. Till
1123,win,Alex Morono  David Zawada,0  0,90  86,0  1,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Brunson vs. Till
1124,win,Khalil Rountree Jr.  Modestas Bukauskas,1  0,38  23,0  0,0  0,Light Heavyweight,KO/TKO  Kick,2,2:30,UFC Fight Night: Brunson vs. Till
1125,win,Paddy Pimblett  Luigi Vendramini,1  0,47  25,0  1,0  0,Lightweight,KO/TKO  Punches,1,4:25,UFC Fight Night: Brunson vs. Till
1126,win,Molly McCann  Ji Yeon Kim,0  0,127  122,2  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Brunson vs. Till
1127,win,Jack Shore  Liudvik Sholinian,0  0,92  19,2  0,1  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Brunson vs. Till
1128,win,Julian Erosa  Charles Jourdain,0  1,103  85,2  0,1  0,Catch Weight,SUB  D'Arce Choke,3,2:56,UFC Fight Night: Brunson vs. Till
1129,win,Marc-Andre Barriault  Dalcha Lungiambula,0  0,118  85,0  2,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Brunson vs. Till
1130,win,Giga Chikadze  Edson Barboza,2  0,60  33,0  0,2  0,Featherweight,KO/TKO  Punch,3,1:44,UFC Fight Night: Barboza vs. Chikadze
1131,win,Bryan Battle  Gilbert Urbina,0  0,46  45,1  2,1  0,Middleweight,SUB  Rear Naked Choke,2,2:15,UFC Fight Night: Barboza vs. Chikadze
1132,win,Ricky Turcios  Brady Hiestand,1  0,100  66,2  6,0  0,Bantamweight,S-DEC,3,5:00,UFC Fight Night: Barboza vs. Chikadze
1133,win,Daniel Rodriguez  Kevin Lee,0  0,120  56,0  3,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Barboza vs. Chikadze
1134,win,Andre Petroski  Micheal Gillmore,0  0,46  31,4  0,1  0,Middleweight,KO/TKO  Elbows,3,3:12,UFC Fight Night: Barboza vs. Chikadze
1135,win,Gerald Meerschaert  Makhmud Muradov,0  0,32  40,3  0,1  0,Middleweight,SUB  Rear Naked Choke,2,1:49,UFC Fight Night: Barboza vs. Chikadze
1136,win,Abdul Razak Alhassan  Alessio Di Chirico,1  0,1  1,0  0,0  0,Middleweight,KO/TKO  Kick,1,0:17,UFC Fight Night: Barboza vs. Chikadze
1137,win,Wellington Turman  Sam Alvey,0  0,69  68,2  0,0  0,Middleweight,S-DEC,3,5:00,UFC Fight Night: Barboza vs. Chikadze
1138,win,Dustin Jacoby  Darren Stewart,0  0,37  18,0  2,0  0,Light Heavyweight,KO/TKO  Punches,1,3:04,UFC Fight Night: Barboza vs. Chikadze
1139,win,JJ Aldrich  Vanessa Demopoulos,0  0,93  70,1  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Barboza vs. Chikadze
1140,win,Pat Sabatini  Jamall Emmers,0  0,1  10,0  0,2  1,Featherweight,SUB  Heel Hook,1,1:53,UFC Fight Night: Barboza vs. Chikadze
1141,win,Mana Martinez  Guido Cannetti,0  0,79  66,2  0,0  0,Bantamweight,S-DEC,3,5:00,UFC Fight Night: Barboza vs. Chikadze
1142,win,Jared Cannonier  Kelvin Gastelum,1  0,81  89,0  0,0  0,Middleweight,U-DEC,5,5:00,UFC Fight Night: Cannonier vs. Gastelum
1143,win,Mark Madsen  Clay Guida,0  0,98  72,0  0,0  0,Lightweight,S-DEC,3,5:00,UFC Fight Night: Cannonier vs. Gastelum
1144,win,Parker Porter  Chase Sherman,0  0,149  117,1  0,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Gastelum
1145,win,Saidyokub Kakhramonov  Trevin Jones,0  0,36  12,2  1,4  0,Bantamweight,SUB  Guillotine Choke,3,4:39,UFC Fight Night: Cannonier vs. Gastelum
1146,win,Vinc Pichel  Austin Hubbard,0  0,71  56,0  4,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Gastelum
1147,win,Alexandre Pantoja  Brandon Royval,0  0,22  17,3  1,2  0,Flyweight,SUB  Rear Naked Choke,2,1:46,UFC Fight Night: Cannonier vs. Gastelum
1148,win,Austin Lingo  Luis Saldana,1  0,73  77,0  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Gastelum
1149,win,Brian Kelleher  Domingo Pilarte,0  0,28  3,3  0,2  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Cannonier vs. Gastelum
1150,win,Josiane Nunes  Bea Malecki,1  0,52  35,0  0,0  0,Women's Bantamweight,KO/TKO  Punch,1,4:54,UFC Fight Night: Cannonier vs. Gastelum
1151,win,William Knight  Fabio Cherant,1  0,14  15,0  0,0  0,Light Heavyweight,KO/TKO  Punch,1,3:58,UFC Fight Night: Cannonier vs. Gastelum
1152,win,Ignacio Bahamondes  Roosevelt Roberts,1  0,105  55,0  0,0  0,Lightweight,KO/TKO  Kick,3,4:55,UFC Fight Night: Cannonier vs. Gastelum
1153,win,Ramiz Brahimaj  Sasha Palatnikov,0  0,1  1,2  0,1  0,Welterweight,SUB  Rear Naked Choke,1,2:33,UFC Fight Night: Cannonier vs. Gastelum
1154,win,Ciryl Gane  Derrick Lewis,0  0,98  16,0  0,0  0,Heavyweight,KO/TKO  Punches,3,4:11,UFC 265: Lewis vs. Gane
1155,win,Jose Aldo  Pedro Munhoz,0  0,114  75,0  0,0  0,Bantamweight,U-DEC,3,5:00,UFC 265: Lewis vs. Gane
1156,win,Vicente Luque  Michael Chiesa,0  0,7  4,0  1,1  2,Welterweight,SUB  D'Arce Choke,1,3:25,UFC 265: Lewis vs. Gane
1157,win,Tecia Torres  Angela Hill,0  0,144  96,1  2,0  0,Women's Strawweight,U-DEC,3,5:00,UFC 265: Lewis vs. Gane
1158,win,Song Yadong  Casey Kenney,0  0,116  78,0  1,0  0,Bantamweight,S-DEC,3,5:00,UFC 265: Lewis vs. Gane
1159,win,Rafael Fiziev  Bobby Green,0  0,104  143,0  0,0  0,Lightweight,U-DEC,3,5:00,UFC 265: Lewis vs. Gane
1160,win,Vince Morales  Drako Rodriguez,0  0,76  55,1  3,0  0,Bantamweight,U-DEC,3,5:00,UFC 265: Lewis vs. Gane
1161,win,Alonzo Menifield  Ed Herman,0  0,93  41,1  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC 265: Lewis vs. Gane
1162,win,Jessica Penne  Karolina Kowalkiewicz,0  0,12  8,1  1,1  0,Women's Strawweight,SUB  Armbar,1,4:32,UFC 265: Lewis vs. Gane
1163,win,Manel Kape  Ode Osbourne,1  0,19  18,0  0,0  0,Flyweight,KO/TKO  Flying Knee,1,4:44,UFC 265: Lewis vs. Gane
1164,win,Miles Johns  Anderson Dos Santos,1  0,80  32,0  0,0  0,Bantamweight,KO/TKO  Punch,3,1:16,UFC 265: Lewis vs. Gane
1165,win,Melissa Gatto  Victoria Leonardo,0  0,70  43,1  0,0  0,Women's Flyweight,KO/TKO,2,5:00,UFC 265: Lewis vs. Gane
1166,win,Johnny Munoz  Jamey Simmons,0  0,14  7,2  0,3  0,Bantamweight,SUB  Rear Naked Choke,2,2:35,UFC 265: Lewis vs. Gane
1167,win,Sean Strickland  Uriah Hall,0  0,186  107,4  0,0  0,Middleweight,U-DEC,5,5:00,UFC Fight Night: Hall vs. Strickland
1168,win,Cheyanne Vlismas  Gloria de Paula,1  0,11  5,1  0,0  0,Women's Strawweight,KO/TKO  Kick,1,1:00,UFC Fight Night: Hall vs. Strickland
1169,win,Jared Gooden  Niklas Stolze,1  0,14  7,1  0,0  0,Welterweight,KO/TKO  Punch,1,1:08,UFC Fight Night: Hall vs. Strickland
1170,win,Melsik Baghdasaryan  Collin Anglin,1  0,44  25,0  1,0  0,Featherweight,KO/TKO  Kick,2,1:50,UFC Fight Night: Hall vs. Strickland
1171,win,Jason Witt  Bryan Barberena,1  0,35  50,8  0,1  0,Welterweight,M-DEC,3,5:00,UFC Fight Night: Hall vs. Strickland
1172,win,Chris Gruetzemacher  Rafa Garcia,0  0,100  72,0  5,0  1,Lightweight,U-DEC,3,5:00,UFC Fight Night: Hall vs. Strickland
1173,draw draw,Danny Chavez  Kai Kamaka,0  0,41  48,1  0,0  0,Featherweight,M-DEC,3,5:00,UFC Fight Night: Hall vs. Strickland
1174,win,Jinh Yu Frey  Ashley Yoder,0  0,88  91,0  0,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Hall vs. Strickland
1175,win,Zarrukh Adashev  Ryan Benoit,0  1,78  37,0  0,1  0,Flyweight,U-DEC,3,5:00,UFC Fight Night: Hall vs. Strickland
1176,win,Phil Rowe  Orion Cosce,1  0,46  22,0  2,0  0,Welterweight,KO/TKO  Punches,2,4:21,UFC Fight Night: Hall vs. Strickland
1177,win,TJ Dillashaw  Cory Sandhagen,0  0,110  128,2  0,0  1,Bantamweight,S-DEC,5,5:00,UFC Fight Night: Sandhagen vs. Dillashaw
1178,win,Raulian Paiva  Kyler Phillips,0  1,51  74,2  4,0  0,Bantamweight,M-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Dillashaw
1179,win,Darren Elkins  Darrick Minner,0  0,20  19,1  2,0  3,Featherweight,KO/TKO  Punches,2,3:48,UFC Fight Night: Sandhagen vs. Dillashaw
1180,win,Maycee Barber  Miranda Maverick,0  0,36  47,1  1,0  0,Women's Flyweight,S-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Dillashaw
1181,win,Adrian Yanez  Randy Costa,1  0,64  69,0  0,0  0,Bantamweight,KO/TKO  Punches,2,2:11,UFC Fight Night: Sandhagen vs. Dillashaw
1182,win,Brendan Allen  Punahele Soriano,0  0,94  66,0  0,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Dillashaw
1183,win,Nassourdine Imavov  Ian Heinisch,0  0,39  24,1  0,0  0,Middleweight,KO/TKO  Punches,2,3:09,UFC Fight Night: Sandhagen vs. Dillashaw
1184,win,Mickey Gall  Jordan Williams,0  0,11  13,1  1,2  0,Welterweight,SUB  Rear Naked Choke,1,2:57,UFC Fight Night: Sandhagen vs. Dillashaw
1185,win,Julio Arce  Andre Ewell,0  0,42  31,0  0,0  0,Bantamweight,KO/TKO  Punches,2,3:45,UFC Fight Night: Sandhagen vs. Dillashaw
1186,win,Sijara Eubanks  Elise Reed,0  0,22  1,1  0,0  0,Women's Flyweight,KO/TKO  Punches,1,3:49,UFC Fight Night: Sandhagen vs. Dillashaw
1187,win,Diana Belbita  Hannah Goldy,1  0,117  92,0  2,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Dillashaw
1188,win,Islam Makhachev  Thiago Moises,0  0,61  13,3  1,1  1,Lightweight,SUB  Rear Naked Choke,4,2:38,UFC Fight Night: Makhachev vs. Moises
1189,win,Miesha Tate  Marion Reneau,0  0,65  25,3  0,0  0,Women's Bantamweight,KO/TKO  Elbows,3,1:53,UFC Fight Night: Makhachev vs. Moises
1190,win,Mateusz Gamrot  Jeremy Stephens,0  0,1  0,1  0,1  0,Lightweight,SUB  Kimura,1,1:05,UFC Fight Night: Makhachev vs. Moises
1191,win,Rodolfo Vieira  Dustin Stoltzfus,0  0,49  67,3  0,1  0,Middleweight,SUB  Rear Naked Choke,3,1:54,UFC Fight Night: Makhachev vs. Moises
1192,win,Billy Quarantillo  Gabriel Benitez,1  1,100  57,3  0,1  1,Featherweight,KO/TKO  Punches,3,3:40,UFC Fight Night: Makhachev vs. Moises
1193,win,Daniel Rodriguez  Preston Parsons,0  0,45  23,0  0,0  0,Welterweight,KO/TKO  Punches,1,3:47,UFC Fight Night: Makhachev vs. Moises
1194,win,Amanda Lemos  Montserrat Conejo Ruiz,1  0,7  3,0  0,0  0,Women's Strawweight,KO/TKO  Punch,1,0:35,UFC Fight Night: Makhachev vs. Moises
1195,win,Sergey Morozov  Khalid Taha,0  0,50  33,6  0,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Makhachev vs. Moises
1196,win,Malcolm Gordon  Francisco Figueiredo,0  0,46  28,2  2,0  0,Flyweight,U-DEC,3,5:00,UFC Fight Night: Makhachev vs. Moises
1197,nc nc,Alan Baudot  Rodrigo Nascimento,0  0,60  49,0  0,0  0,Heavyweight,Overturned  Punches,2,1:29,UFC Fight Night: Makhachev vs. Moises
1198,win,Dustin Poirier  Conor McGregor,0  0,36  27,1  0,0  1,Lightweight,KO/TKO,1,5:00,UFC 264: Poirier vs. McGregor 3
1199,win,Gilbert Burns  Stephen Thompson,0  0,29  19,3  0,0  0,Welterweight,U-DEC,3,5:00,UFC 264: Poirier vs. McGregor 3
1200,win,Tai Tuivasa  Greg Hardy,1  0,11  6,0  0,0  0,Heavyweight,KO/TKO  Punch,1,1:07,UFC 264: Poirier vs. McGregor 3
1201,win,Irene Aldana  Yana Santos,1  0,37  24,0  0,0  0,Women's Bantamweight,KO/TKO  Punches,1,4:35,UFC 264: Poirier vs. McGregor 3
1202,win,Sean O'Malley  Kris Moutinho,1  0,230  70,0  0,0  0,Bantamweight,KO/TKO  Punches,3,4:33,UFC 264: Poirier vs. McGregor 3
1203,win,Max Griffin  Carlos Condit,1  0,93  63,1  0,0  0,Welterweight,U-DEC,3,5:00,UFC 264: Poirier vs. McGregor 3
1204,win,Michel Pereira  Niko Price,0  0,92  76,3  0,2  1,Welterweight,U-DEC,3,5:00,UFC 264: Poirier vs. McGregor 3
1205,win,Ilia Topuria  Ryan Hall,0  0,18  10,0  0,0  0,Featherweight,KO/TKO  Punches,1,4:47,UFC 264: Poirier vs. McGregor 3
1206,win,Dricus Du Plessis  Trevin Giles,1  0,25  10,2  0,0  0,Middleweight,KO/TKO  Punch,2,1:41,UFC 264: Poirier vs. McGregor 3
1207,win,Jennifer Maia  Jessica Eye,0  0,98  100,0  2,0  0,Women's Flyweight,U-DEC,3,5:00,UFC 264: Poirier vs. McGregor 3
1208,win,Brad Tavares  Omari Akhmedov,1  0,84  48,0  2,0  0,Middleweight,S-DEC,3,5:00,UFC 264: Poirier vs. McGregor 3
1209,win,Zhalgas Zhumagulov  Jerome Rivera,0  0,10  11,0  0,1  0,Flyweight,SUB  Guillotine Choke,1,2:02,UFC 264: Poirier vs. McGregor 3
1210,win,Ciryl Gane  Alexander Volkov,0  0,135  115,0  0,0  0,Heavyweight,U-DEC,5,5:00,UFC Fight Night: Gane vs. Volkov
1211,win,Tanner Boser  Ovince Saint Preux,1  0,33  9,0  1,0  0,Heavyweight,KO/TKO  Punch,2,2:31,UFC Fight Night: Gane vs. Volkov
1212,win,Timur Valiev  Raoni Barcelos,0  2,77  69,0  0,0  0,Bantamweight,M-DEC,3,5:00,UFC Fight Night: Gane vs. Volkov
1213,nc nc,Andre Fili  Daniel Pineda,0  0,34  15,1  0,0  0,Featherweight,CNC,2,0:46,UFC Fight Night: Gane vs. Volkov
1214,win,Tim Means  Nicolas Dalby,0  0,53  54,1  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Gane vs. Volkov
1215,win,Renato Moicano  Jai Herbert,0  0,26  7,5  0,1  0,Lightweight,SUB  Rear Naked Choke,2,4:34,UFC Fight Night: Gane vs. Volkov
1216,win,Kennedy Nzechukwu  Danilo Marques,0  0,31  10,0  2,0  0,Light Heavyweight,KO/TKO  Punches,3,0:20,UFC Fight Night: Gane vs. Volkov
1217,win,Shavkat Rakhmonov  Michel Prazeres,0  0,21  6,1  0,1  0,Welterweight,SUB  Rear Naked Choke,2,2:10,UFC Fight Night: Gane vs. Volkov
1218,win,Jeremiah Wells  Warlley Alves,1  0,21  15,0  0,0  1,Welterweight,KO/TKO  Punch,2,0:30,UFC Fight Night: Gane vs. Volkov
1219,win,Marcin Prachnio  Ike Villanueva,1  0,59  34,0  1,0  0,Light Heavyweight,KO/TKO  Kick,2,0:56,UFC Fight Night: Gane vs. Volkov
1220,win,Julia Avila  Julija Stoliarenko,0  0,48  40,1  1,1  0,Women's Bantamweight,SUB  Rear Naked Choke,3,4:19,UFC Fight Night: Gane vs. Volkov
1221,win,Charles Rosa  Justin Jaynes,0  0,51  44,2  2,2  2,Featherweight,S-DEC,3,5:00,UFC Fight Night: Gane vs. Volkov
1222,win,Damir Hadzovic  Yancy Medeiros,0  0,121  103,2  2,0  2,Lightweight,U-DEC,3,5:00,UFC Fight Night: Gane vs. Volkov
1223,win,Chan Sung Jung  Dan Ige,0  0,92  80,3  0,3  0,Featherweight,U-DEC,5,5:00,UFC Fight Night: Jung vs. Ige
1224,win,Serghei Spivac  Aleksei Oleinik,0  0,71  59,0  1,0  1,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Jung vs. Ige
1225,win,Marlon Vera  Davey Grant,0  0,105  83,2  1,3  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Jung vs. Ige
1226,win,SeungWoo Choi  Julian Erosa,1  0,13  10,0  0,0  0,Featherweight,KO/TKO  Punch,1,1:37,UFC Fight Night: Jung vs. Ige
